my phone battery is not holding charge,battery
my battery is not holding charge,battery
my battery is not holding charge,battery
my battery life is not what I expected,battery
my device runs out of battery after one or more hours,battery
less battery life than before,battery
clock battery hold well the charge,other
lithium batteries hold well the charge,other
need to replace my batteries,other
I break my device screen,other
my device could not power on anymore,other
battery drains quickly,battery
my iphone is not holding the charge,battery
my ipad runs out of battery quickly,battery
